"","name","n","p","m","N","kappa","sigma","ratio","averaged","centralized"
"123",ols,40,8,20,800,0.2,10,1.21331961944237,0.544511325628809,0.448778142958786
"124",ols,40,8,20,800,0.2,10,2.15392401074433,0.606129181940913,0.281406947931953
"125",ols,40,8,20,800,0.2,10,1.21037114254007,2.03309309587562,1.67972700638665
"126",ols,40,8,20,800,0.2,10,1.43839350396235,0.451719710413572,0.314044598483808
"127",ols,40,8,20,800,0.2,10,1.73369761732425,1.05208573829144,0.606845004445011
"128",ols,40,8,20,800,0.2,10,1.1341739083298,0.563910035546361,0.497198914033195
"129",ols,40,8,20,800,0.2,10,1.09033037545741,1.84431495698043,1.69151937659879
"130",ols,40,8,20,800,0.2,10,1.00524022436593,0.916037148928499,0.911261931948953
"131",ols,40,8,20,800,0.2,10,1.26571512594446,1.20479297863998,0.951867409928428
"132",ols,40,8,20,800,0.2,10,1.44239476363689,1.55618751097102,1.07889154217893
"133",ols,40,8,20,800,0.2,10,2.12679108635343,1.55033942629474,0.728957082922956
"134",ols,40,8,20,800,0.2,10,1.60832154754963,1.87203295385493,1.16396684276666
"135",ols,40,8,20,800,0.2,10,0.789170229503832,0.312893480745331,0.396484141250556
"136",ols,40,8,20,800,0.2,10,1.36505053821745,1.37335838435106,1.00608610882969
"137",ols,40,8,20,800,0.2,10,1.4521278445681,0.850041628359405,0.585376577922606
"138",ols,40,8,20,800,0.2,10,1.68022791728809,0.997835514867141,0.593869143941888
"139",ols,40,8,20,800,0.2,10,1.09305351106461,1.38915204622085,1.27089116146551
"140",ols,40,8,20,800,0.2,10,1.01721222255016,0.240990645716277,0.236912849033716
"141",ols,40,8,20,800,0.2,10,1.21504790903312,2.09611430819225,1.72512893739329
"142",ols,40,8,20,800,0.2,10,0.844555261907276,1.03002194179439,1.21960277586604
"143",ols,40,8,20,800,0.2,10,2.09412576659723,0.879751324365452,0.420104340626577
